Year	          0          1          2          6          7          8         17
1979	       1810         99          2        175         17          1        371
1980	       1858        102          2        179         18          1        381
1981	       2001        106          2        382         30          4        462
1982	       6418        371          2        452         32          1       1059
1983	       8647        283          9        326         15          0       1312
1984	       3668        165          1        222         24          2        893
1985	       3412        290          1        665         30          2        691
1986	       4937        308          4        517         23          0        800
1987	       3594        182          7        491         23          1        696
1988	       1931         95          0        224         17          0        455
1989	       2012        170          1        221         15          0        576
1990	       1344         51          0        131         12          1        578
1991	       1013         88          1        114         10          1        482
1992	       1138         90          1        147          9          0        555
1993	       1411        101          1        126         13          0        764
1994	        949         70          0        150          8          0        521
1995	       1070         65          1         83          8          1        324
1996	       1448         91          1         94         10          0        431
1997	       1477         91          1        101         11          0        460
1998	       1175         76          1        126         11          0        431
1999	       1192         76          1        121         10          0        406
2000	       1359         89          1        126         11          0        453
2001	       1344         89          1        129         11          0        470
2002	       1243         81          1        125         11          0        441
2003	       1239         81          1        122         11          0        428
2004	       1300         86          1        124         11          0        447
2005	       1306         87          1        125         11          0        457
2006	       1266         83          1        124         11          0        445
2007	       1260         83          1        123         11          0        439
2008	       1288         85          1        124         11          0        447
2009	       1294         86          1        125         11          0        452
2010	       1277         84          1        124         11          0        447
2011	       1273         84          1        123         11          0        445
2012	       1285         85          1        124         11          0        448
2013	       1290         85          1        124         11          0        450
2014	       1283         85          1        124         11          0        449
2015	       1281         85          1        124         11          0        447
2016	       1285         85          1        124         11          0        449
2017	       1288         85          1        124         11          0        450
